Chilli con carne	mleté maso	protlak	kukuřice	olej	cibule		
Špagety	těstoviny	mleté maso	cibule	olej	protlak	koření	sůlpepř
vajíčko s knedlíkem	knedlíky	vejce	olej	cibule	sůlpepř		
marinované maso	koření	kuřecí maso	bílý jogurt	sůlpepř			
snídaně	rohlíky	slanina	tuňák	rajčata	paprika		
lečo	rajčata	paprika	kuřecí maso	vejce	cibule	olej	sůlpepř
guláš	knedlíky	kuřecí maso	cibule	koření	sůlpepř	paprika	
rybí pomazánka	rohlíky	tuňák	sůlpepř	smetana			
kuře na paprice	kuřecí maso	paprika	cibule	smetana	olej	sůlpepř	
italské těstoviny	těstoviny	tuňák	rajčata	cibule 	olej	sůlpepř	
carbonara	těstoviny	slanina	smetana	cibule	sůlpepř		
hemenex	vejce	slanina	cibule	olej	sůlpepř		
maso na kmíně	mleté maso	cibule	kmín	sůlpepř	olej		
kuře americana	kuřecí maso	kukuřice	smetana	cibule	olej	sůlpepř	
papriková omeleta	vejce	paprika	rajčata	cibule	olej	sůlpepř	
